,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A/simplified,case9,case14,case 30,,,A/not simplified,case9,case14,case 30
size,63x81,98x196,210x900,,,size,63x81,98x196,210x900
nonzero,180,328,688,,,nonzero,198,360,763
unique nonzero,6,9,12,,,unique nonzero,61,128,236
,,,,,,,,,
,5103,19208,189000,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,3.527336861,1.707621824,0.364021164,,,,3.880070547,1.874219075,0.4037037037
,,,,,,,96.11992945,98.12578092,99.5962963
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
RIP,1,0.97783,1,,,RIP,0.64062,0.64108,0.64288
