m,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,63,98,210,63,98,210,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,14,30,9,14,30,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparsity,0.85,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.965,0.983,0.9964,0.961,0.981,0.996,,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_values,3,3,3,2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,6,9,12,61,128,236,-,2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,0.8304326385,0.5712453263,0.662456663,0.9999999843,0.9999999847,0.9999963087,0.575312782,0.5011547854,0.7125630303,0.5144869088,[],0.5479300169,0.9999999958,0.9974865053,0.5129074838,0.5016835469,0.545165187,0.50559617,0.5492402876,0.6892772898,0.5188448113,0.9999999998,0.9999999847,0.9999999169,0.9999999863,0.5122530383,0.7675979953,0.9996403791,0.8641627106,0.7677414139,0.9464764307,0.9998737081,0.9999999099,0.5034111695,0.7432181729,,,0.9999999895,0.9999999975,0.9999999956,0.8130935014,0.719804057,0.5161514159,[],0.5093244959,0.5028698169,0.9999999996,0.9999999908,0.6692668227,0.5435195985,0.6460708833,0.5008038856,0.6800681916,[],0.5612325877,0.9999945836,0.9182454093,0.7778381835,0.6577059522,0.5640315339,0.9999973429,0.998786311,0.7482074807,0.6105226037,0.7184673084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.8594007084,0.5642677142,0.6386649592,0.9999998493,0.9999999362,0.8434559825,0.9434163266,0.5055275084,0.526791328,0.5183390341,0.5134403853,0.5211371279,0.9999996452,0.9624976604,0.5103145761,0.5449425559,0.51779002,0.5018206398,0.6404697298,0.5681705216,0.5091343493,0.9999999975,1,0.9997306097,0.9999998169,0.9999999779,0.9919581228,0.5024365522,0.9857611957,0.6327221937,0.9932084547,0.9999873074,0.9999998406,0.5756138056,0.666804176,,,0.9999999926,0.9999999924,0.9290982168,0.746092183,0.6600470715,0.5651646815,0.5384536422,0.5110173887,0.517883838,0.9999999998,0.9943482384,0.6870190764,0.371037712,0.5817971821,0.500808208,0.5127304662,0.5163650206,0.5020894708,0.5334797939,0.6965942725,0.5023001722,0.6149477136,0.5543862863,0.5494094218,0.8495354858,0.752419765,0.5284885166,0.9999961068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.8855873224,0.5048140618,0.789102764,1,0.9999998743,0.9999999143,0.5408583465,0.5082618187,[],0.5139001539,0.5571189447,0.5076643597,0.9999999294,0.5982346434,0.5068612094,0.5061385945,0.5079514028,0.5029973222,0.5042749863,0.5051025555,0.5121862556,1,0.9979866029,0.9999999996,0.8339717222,0.6755808446,0.9997187165,0.823113077,0.5012733343,0.9629522966,0.9885780145,0.9999995874,,0.5917938092,0.5147287842,,,0.9999999999,0.9999999875,0.9999999915,0.7622767007,0.8855004584,0.9788695411,0.578524534,0.5972196871,0.5226809268,0.9999994782,0.955245178,0.5609883513,0.6599877464,0.5002707703,0.5036856346,0.5339231387,0.5083019213,0.676799204,0.6513598992,0.8681592103,0.6611497295,0.9968062357,0.5996611951,0.6294116146,0.6796532518,0.5084812487,0.7053238442,0.5091504849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.840947475,0.5274077994,0.5802861456,0.9999999991,0.9999999989,0.6562445475,0.5068387317,0.5208728706,0.5174365239,0.7082577369,0.5234244988,[],0.9999999955,0.999999998,0.6541838789,0.5026999083,0.5270263637,[],0.56261475,0.538124672,0.5016297422,0.9999999946,0.999999998,0.7325503201,0.8997377618,0.5178895118,0.8255921911,0.9967846924,0.5448985409,0.9913012382,0.6421090324,0.9955549171,,0.6599193615,0.5331679505,,,1,0.9999999997,0.7268260057,0.9999999951,0.845424337,0.5387071016,0.5098112446,0.5041291739,0.581082341,0.9999999255,0.9956022197,0.9658273275,0.5570835732,0.7292187375,0.5111033799,0.5032585428,0.5123827614,0.5316149849,0.5032778836,0.9527379087,0.5536892116,0.5242058623,0.9999998181,0.9338096543,0.505127051,0.996732964,0.9826360303,0.5543909461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.944778879,0.5258999556,0.5716708574,1,0.9999989982,0.7043326084,0.5147031946,0.5012162323,0.5137275881,0.5564193112,0.5258543847,0.5023988952,0.9999999941,0.742257625,0.5032378006,0.5251615933,0.5087939771,0.5011265779,0.5104856926,0.5044568014,0.5002799473,0.9999999998,1,0.9999863902,0.9999998804,0.6047428854,0.6022531983,0.999701701,0.531721488,0.5731720021,0.9999999984,0.9999993472,,0.509320708,0.6257482969,,,1,0.9999999999,0.9965672942,0.9999998608,0.6502404014,0.5964369486,0.5221448576,0.5242715747,0.5130827006,0.9999999765,0.9999999983,0.569626467,0.6555611908,0.5149464957,0.6521599724,0.5546639005,0.6986632448,0.5110933728,0.580749918,0.999999291,0.9999999808,0.7363121909,0.5269529909,0.5329440256,0.5018533883,0.7269410737,0.5010085785,0.9999978217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.5329028766,0.5001905194,0.5028320788,0.9999999676,0.9999614383,0.9262998936,0.5434353976,0.510569693,0.5511194458,0.5290803304,0.5078244945,0.5115490136,0.9999999087,0.9999999431,0.5389824495,0.5503722492,0.6738570085,0.5137807263,0.5102517234,0.6720303668,0.6282876804,0.9999999165,0.9999999995,0.9999993714,0.9999999926,0.9784452264,0.9761590524,0.5821522371,0.9999995184,0.555053986,0.8461395561,0.987981807,,0.5012798611,0.5092919189,,,0.9999999961,0.9999998451,0.9982725135,0.9999909622,0.756149488,0.6172956836,0.5653219539,0.5002223029,0.6317567306,0.9999999979,0.9999976821,0.8616707893,0.5054400026,0.6819106593,0.3910465047,0.07491447382,0.5162928901,[],0.627178059,0.57069969,0.9990262756,0.5648933749,0.6142579067,0.48547265,0.5033134726,0.5087905688,0.9938118955,0.5358463283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
