stat_usual_9,stat_usual_14,stat_extra_9,stat_extra_14,true_usual_9,true_usual_14,true_extra_9,true_extra_14
0.5034111695,0.7432181729,0.9464764307,0.9998737081,0.64062,0.64108,1,0.97783
0.5756138056,0.666804176,0.9932084547,0.9999873074,,,,
0.5917938092,0.5147287842,0.9885780145,0.9999995874,,,,
0.6599193615,0.5331679505,0.6421090324,0.9955549171,,,,
0.509320708,0.6257482969,0.9999999984,0.9999993472,,,,
0.5012798611,0.5092919189,0.8461395561,0.987981807,,,,
0.5013518363,0.528139212,0.8715925639,0.9954853992,,,,
0.6070133534,0.5445442383,[],0.9999994197,,,,
0.6102562235,0.543065482,0.9999999822,0.9999995183,,,,
0.5667626189,0.5892734767,0.8249089422,1.000000178,,,,
0.6069597153,0.5302528391,0.9622270275,0.9999986618,,,,
0.502939034,0.5419881011,0.6985505671,0.9999998835,,,,
0.5001038724,0.5049365846,0.9888848155,0.9999988899,,,,
0.5070499313,0.6357151645,0.9999999945,0.9999792242,,,,
0.5050530328,0.6198590149,0.933186567,0.9998990472,,,,
0.5881436328,0.5935847101,0.9999999933,[],,,,
0.516797844,0.5483418149,0.999790175,0.9984725187,,,,
0.5004631527,0.507617718,0.9363503552,0.9997224104,,,,
0.5028282373,0.535954694,0.9999999996,0.9999999254,,,,
0.6268553346,0.6093484303,0.9999999995,1.000000406,,,,
0.6199879386,0.5800504129,0.9999999935,0.9999991589,,,,
0.5437507737,0.5661017932,0.998999231,0.9823162341,,,,
0.5001004039,0.6651497738,0.9999246616,0.9998880449,,,,
0.5253568283,0.5064657671,0.8294232132,[],,,,
0.5684263044,0.5235528583,0.6596518968,1.000000006,,,,
0.5243787693,0.548651874,0.7633970816,0.999998749,,,,
0.5038194405,0.600806766,0.8533152586,0.9846307943,,,,
0.5019396373,0.6684543374,0.7302734495,0.9999829461,,,,
0.5875934754,0.5952603401,0.9013769953,1.000000009,,,,
0.50960606,0.5464450997,0.9385383953,0.9999998927,,,,
0.5562585079,0.5665517811,0.9999999999,0.9999975041,,,,
0.6036411629,0.5525348284,0.8332243787,0.9999999885,,,,
0.5226982143,0.5151424911,0.9999999821,0.9999998024,,,,
0.6139628996,0.5134183034,0.9976699315,0.9974308274,,,,
0.5585582842,0.5785961134,0.8998373329,0.9999997431,,,,
0.5056533378,0.6259898313,0.8546082243,[],,,,
0.5007766497,0.5657296166,0.999724648,0.9943120705,,,,
0.6020895293,0.5342091285,0.7511835508,[],,,,
0.5196852048,0.6121658573,0.9516886903,0.9999983243,,,,
0.6784492288,0.5066851773,1,0.9999987511,,,,
0.6031671998,0.5130700962,0.5837668728,0.9999995433,,,,
0.5036030809,0.5137432071,0.6733978367,0.9999995775,,,,
0.5644427734,0.6217109588,0.9400807552,0.9999985515,,,,
0.5466411731,0.5095200763,0.9719010067,0.9999979408,,,,
0.5507872574,0.5067640966,0.9747476883,0.9999995253,,,,
0.6067421257,0.599203719,0.9999998772,0.9999998302,,,,
0.5925092668,0.7100273821,1,0.9999811719,,,,
0.6453830935,0.5495660206,0.9999994021,0.9999896827,,,,
0.5838445853,0.5308088854,0.9999999968,0.9999999559,,,,
0.6429168851,0.5386241888,0.9998389294,0.9999961538,,,,
0.5982847656,0.6717498764,0.9795753543,0.9999999167,,,,
0.6357601317,0.508957423,0.7284944645,0.9828612477,,,,
0.6160795906,0.5289482858,0.9999999728,0.999999475,,,,
0.5196196783,0.5652094479,0.6665569335,0.9867038129,,,,
0.5091513589,0.5266464919,0.689856944,0.9888228975,,,,
0.6282661103,0.5098736002,0.8465918946,0.9999967485,,,,
0.520538809,0.5296572299,0.9427744005,0.9999992243,,,,
0.5003715115,0.6191230714,0.9999992947,0.9999999444,,,,
0.5170804491,0.5784707119,1,0.9999470264,,,,
0.5189288322,0.503913083,1,0.9999999116,,,,
